date,model,variable,RGR,n_assets,perturbation_percentage
2023-03-01,xgboost,ret_12m,0.984088,407,0.05
2023-03-01,xgboost,ret_1m,0.976727,407,0.05
2023-03-01,xgboost,log_mktcap,0.870711,407,0.05
2023-04-03,xgboost,vol_1m,0.994657,407,0.05
2023-04-03,xgboost,amihud,0.988311,407,0.05
2023-04-03,xgboost,vol_3m,0.982418,407,0.05
2023-04-03,xgboost,vol_ratio,0.979362,407,0.05
2023-04-03,xgboost,ret_1w,0.972829,407,0.05
2023-04-03,xgboost,ret_6m,0.962618,407,0.05
2023-04-03,xgboost,ret_1m,0.954705,407,0.05
2023-04-03,xgboost,ret_12m,0.946839,407,0.05
2023-04-03,xgboost,ret_3m,0.928636,407,0.05
2023-04-03,xgboost,log_mktcap,0.845436,407,0.05
2023-05-01,xgboost,vol_1m,0.997809,407,0.05
2023-05-01,xgboost,amihud,0.996539,407,0.05
2023-05-01,xgboost,vol_3m,0.996398,407,0.05
2023-05-01,xgboost,ret_1w,0.990926,407,0.05
2023-05-01,xgboost,ret_3m,0.985234,407,0.05
2023-05-01,xgboost,vol_ratio,0.98017,407,0.05
2023-05-01,xgboost,ret_1m,0.973866,407,0.05
2023-05-01,xgboost,ret_6m,0.973203,407,0.05
2023-05-01,xgboost,ret_12m,0.968099,407,0.05
2023-05-01,xgboost,log_mktcap,0.837981,407,0.05
2023-06-01,xgboost,ret_1w,0.984948,407,0.05
2023-06-01,xgboost,vol_1m,0.975298,407,0.05
2023-06-01,xgboost,amihud,0.975144,407,0.05
2023-06-01,xgboost,vol_3m,0.970299,407,0.05
2023-06-01,xgboost,ret_6m,0.966526,407,0.05
2023-06-01,xgboost,ret_1m,0.960938,407,0.05
2023-06-01,xgboost,vol_ratio,0.960103,407,0.05
2023-06-01,xgboost,ret_3m,0.951679,407,0.05
2023-06-01,xgboost,ret_12m,0.94324,407,0.05
2023-06-01,xgboost,log_mktcap,0.867507,407,0.05
2023-07-03,xgboost,vol_1m,0.998378,407,0.05
2023-07-03,xgboost,vol_3m,0.99679,407,0.05
2023-07-03,xgboost,amihud,0.99553,407,0.05
2023-07-03,xgboost,ret_1w,0.993817,407,0.05
2023-07-03,xgboost,ret_3m,0.98359,407,0.05
2023-07-03,xgboost,vol_ratio,0.981695,407,0.05
2023-07-03,xgboost,ret_12m,0.976435,407,0.05
2023-07-03,xgboost,ret_6m,0.973905,407,0.05
2023-07-03,xgboost,ret_1m,0.962293,407,0.05
2023-07-03,xgboost,log_mktcap,0.873425,407,0.05
2023-08-01,xgboost,ret_1w,1.0,407,0.05
2023-08-01,xgboost,amihud,0.982319,407,0.05
2023-08-01,xgboost,vol_3m,0.980667,407,0.05
2023-08-01,xgboost,vol_ratio,0.978395,407,0.05
2023-08-01,xgboost,ret_12m,0.976126,407,0.05
2023-08-01,xgboost,vol_1m,0.957748,407,0.05
2023-08-01,xgboost,ret_1m,0.943738,407,0.05
2023-08-01,xgboost,ret_6m,0.918202,407,0.05
2023-08-01,xgboost,ret_3m,0.910156,407,0.05
2023-08-01,xgboost,log_mktcap,0.813278,407,0.05
2023-09-01,xgboost,vol_1m,1.0,407,0.05
2023-09-01,xgboost,vol_3m,0.99926,407,0.05
