date,model,variable,RGE,n_assets
2024-08-01,xgboost,ret_1m,0.084157,407
2024-08-01,xgboost,ret_12m,0.027962,407
2024-08-01,xgboost,vol_ratio,0.018814,407
2024-08-01,xgboost,ret_6m,0.018566,407
2024-08-01,xgboost,ret_3m,0.016643,407
2024-08-01,xgboost,amihud,0.015025,407
2024-08-01,xgboost,vol_3m,0.005361,407
2024-08-01,xgboost,ret_1w,0.004974,407
2024-08-01,xgboost,vol_1m,0.001484,407
2024-09-02,xgboost,log_mktcap,0.154831,407
2024-09-02,xgboost,ret_1m,0.138028,407
2024-09-02,xgboost,ret_12m,0.013904,407
2024-09-02,xgboost,amihud,0.00972,407
2024-09-02,xgboost,ret_3m,0.008373,407
2024-09-02,xgboost,vol_ratio,0.003387,407
2024-09-02,xgboost,ret_1w,0.003361,407
2024-09-02,xgboost,ret_6m,0.002787,407
2024-09-02,xgboost,vol_3m,0.001173,407
