date,model,group,perturbation_percentage,RGR,n_assets,model_date
2023-02-01,xgboost,all_features,0.05,0.684464,407,2023-02-01
2023-02-01,xgboost,all_features,0.1,0.525444,407,2023-02-01
2023-02-01,xgboost,all_features,0.15,0.415887,407,2023-02-01
2023-02-01,xgboost,all_features,0.2,0.322323,407,2023-02-01
2023-02-01,xgboost,all_features,0.25,0.270811,407,2023-02-01
2023-02-01,xgboost,all_features,0.3,0.251229,407,2023-02-01
2023-02-01,xgboost,all_features,0.35,0.204424,407,2023-02-01
2023-02-01,xgboost,all_features,0.4,0.189147,407,2023-02-01
2023-02-01,xgboost,all_features,0.45,0.181769,407,2023-02-01
2023-02-01,xgboost,all_features,0.5,0.1826,407,2023-02-01
2023-03-01,xgboost,all_features,0.0,1.0,407,2023-03-01
